characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,LKA,2010-10-31,-120,215,16,0.0316171795635992,-0.057849086967527,-0.057849086967527
age,-1,LKA,2010-11-30,-120,210,14,-0.0647777486688776,-0.0223920210036569,-0.0223920210036569
age,-1,LKA,2010-12-31,-120,208,14,0.00374495110287187,-0.01270512940941,-0.01270512940941
age,-1,LKA,2011-02-28,-120,220,15,0.0083004429904065,-0.0727237680655909,-0.0727237680655909
age,-1,LKA,2011-03-31,-120,223,17,0.00167972311236436,-0.023108380398307,-0.023108380398307
age,-1,LKA,2011-10-31,-120,238,19,-0.0374683573083874,-0.0368922929075709,-0.0368922929075709
age,-1,LKA,2022-02-28,-288,275,32,-0.0209298956569316,-0.0101161316984757,-0.0101161316984757
ami_126d,1,LKA,2010-10-31,13.487226865,138,12,-0.0383755488210318,0.0147016706646912,0.0147016706646912
ami_126d,1,LKA,2010-11-30,10.306247665,138,4,-0.00835052497873134,-0.0290255404438754,-0.0290255404438754
ami_126d,1,LKA,2010-12-31,10.53495042,154,13,0.0443518175112384,0.0342090469346526,0.0342090469346526
ami_126d,1,LKA,2011-02-28,9.85184777,163,13,0.0463757175832821,0.112171325305676,0.112171325305676
ami_126d,1,LKA,2011-10-31,13.848173805,176,22,0.0185385917967532,0.0199207427209234,0.0199207427209234
ami_126d,1,LKA,2022-02-28,18.066684565,226,4,0.0795810300698198,0.11837185073113,0.11837185073113
at_be,-1,LKA,2010-10-31,-6.65144580775,143,44,0.0301217893441919,0.0105780161202138,0.0105780161202138
at_be,-1,LKA,2010-11-30,-6.3063755215,151,47,-0.00659095634590835,0.0134041653254056,0.0134041653254056
at_be,-1,LKA,2010-12-31,-5.3314264875,158,56,-0.0609652487427171,-0.00646389442183844,-0.00646389442183844
at_be,-1,LKA,2011-02-28,-6.917312444,170,45,0.0277654627393778,-0.0752296959072212,-0.0752296959072212
at_be,-1,LKA,2011-03-31,-5.49171074475,165,56,-0.0297762124554391,-0.0381722071128009,-0.0381722071128009
at_be,-1,LKA,2011-10-31,-7.30025960825,164,36,-0.0110710568697917,-0.00717151111200293,-0.00717151111200293
at_be,-1,LKA,2022-02-28,-4.589183927,258,73,-0.00884436908636062,-0.003101633538325,-0.003101633538325
at_gr1,-1,LKA,2010-10-31,-0.3439219713,148,71,-0.00725098365359429,-0.00903308160867404,-0.00903308160867404
at_gr1,-1,LKA,2010-11-30,-0.28589960235,157,59,0.0011749222003632,0.00966321742212082,0.00966321742212082
at_gr1,-1,LKA,2010-12-31,-0.27632143485,162,64,-0.0355650131566327,-0.00685740186359098,-0.00685740186359098
at_gr1,-1,LKA,2011-02-28,-0.42931069605,182,80,0.0284679465472304,-0.073924832476076,-0.073924832476076
at_gr1,-1,LKA,2011-03-31,-0.39161183875,187,93,0.0114505906056738,-0.0209492824015419,-0.0209492824015419
at_gr1,-1,LKA,2011-10-31,-0.71758793395,133,45,0.00823181744234849,0.0180712773081668,0.0180712773081668
at_gr1,-1,LKA,2022-02-28,-0.3512665442,168,57,0.065295211613229,0.0893756947035101,0.0893756947035101
at_me,1,LKA,2010-10-31,1.46411583915,159,75,-0.00966762445066667,0.0115178196512473,0.0115178196512473
at_me,1,LKA,2010-11-30,1.9369390397,129,49,0.0185316387042602,-0.0126310332347319,-0.0126310332347319
at_me,1,LKA,2010-12-31,1.5561596521,146,50,0.049039873651125,0.0185585071077549,0.0185585071077549
at_me,1,LKA,2011-02-28,1.22827978885,173,73,-0.0262354089979452,0.0143042369040012,0.0143042369040012
at_me,1,LKA,2011-03-31,1.0220285956,180,67,0.0268632673943468,0.090426286154625,0.090426286154625
at_me,1,LKA,2011-10-31,1.6880310799,186,90,0.0237835374447222,-0.00584579559667714,-0.00584579559667714
at_me,1,LKA,2022-02-28,2.684268189,186,61,0.0329558375790033,-0.0277270531247683,-0.0277270531247683
at_turnover,1,LKA,2010-10-31,0.87327717525,196,92,0.00651278755911371,-0.006484969080498,-0.006484969080498
at_turnover,1,LKA,2010-11-30,0.9294713387,170,66,0.0235748597292832,0.0314287464375555,0.0314287464375555
at_turnover,1,LKA,2010-12-31,0.89458642455,196,94,0.0661484478399249,0.015563520323328,0.015563520323328
at_turnover,1,LKA,2011-02-28,0.9186471906,201,94,0.0163029520037483,0.0150145086775868,0.0150145086775868
at_turnover,1,LKA,2011-03-31,0.9180121865,206,99,-0.0138654542540451,-0.0342444769627486,-0.0342444769627486
at_turnover,1,LKA,2011-10-31,0.9678514114,222,110,-0.00895874782209416,0.00357472301077799,0.00357472301077799
